Control_ID,Control_Name,Annex_A_Domain,Technology_Area,Control_Owner_Role,Implementation_Status,Technical_Implementation_Notes,Evidence_Type,Evidence_Naming_Example,ISO_Clause_Reference,Last_Reviewed_Date,NIST_CSF_2_Mapping,Cyber_Essentials_Mapping,Notes
A.5.1,Policies for information security,Organisational controls,Process,CISO,Reviewed,"Information security policy suite approved by board and published on intranet; reviewed annually and after significant incidents.",Policy document,2026-05-01_A.5.1_Process_InfoSecPolicy_CISO_v1.pdf,ISO 27001:2022 Clause 5.2,2026-05-01,GV.PO-01,N/A,Policy must reference all relevant Annex A domains; version control and board sign-off evidence required.
A.5.2,Information security roles and responsibilities,Organisational controls,Process,CISO,Reviewed,"RACI matrix defined for all information security roles; responsibilities documented in job descriptions and the ISMS manual.",RACI matrix / role definitions,2026-05-01_A.5.2_Process_RACIMatrix_CISO_v1.xlsx,ISO 27001:2022 Clause 5.3,2026-05-01,GV.RR-01,N/A,Ensure roles are mapped to named individuals and deputies are designated for key positions.
A.5.9,Inventory of information and other associated assets,Organisational controls,Process,IT Manager,Implemented,"Asset register maintained in ServiceNow CMDB covering hardware, software, data assets, and cloud services; reviewed quarterly.",Asset register export,2026-05-01_A.5.9_Process_AssetRegister_ITMgr_v1.csv,ISO 27001:2022 Annex A 5.9,2026-05-01,ID.AM-01,N/A,"Cloud assets (Azure subscriptions and M365 tenants) must be included; data classification must be recorded per asset."
A.5.15,Access control,Organisational controls,M365 / Azure,IAM Owner,Evidenced,"Conditional Access policies enforce least-privilege access across Entra ID; Azure RBAC assignments reviewed quarterly; PIM active for all privileged roles.",CA policy export / RBAC export,2026-05-01_A.5.15_EntraID_CAPolicy-Export_IAMOwner_v1.csv,ISO 27001:2022 Annex A 5.15,2026-05-01,PR.AA-05,User Access Control,Verify no Conditional Access policies remain in Report-only mode; confirm PIM is active for Owner and Contributor roles.
A.5.16,Identity management,Organisational controls,M365 / Azure,IAM Owner,Implemented,"Joiner-mover-leaver process enforced via Entra ID Lifecycle Workflows; guest account reviews run quarterly; stale account report reviewed monthly.",Privileged role export / leaver evidence,2026-05-01_A.5.16_EntraID_PrivilegedRoles_IAMOwner_v1.csv,ISO 27001:2022 Annex A 5.16,2026-05-01,PR.AA-02,User Access Control,Entra ID HR inbound provisioning integration with HR system to be validated; confirm Lifecycle Workflow audit logs are retained.
A.5.17,Authentication information,Organisational controls,M365 / Azure,IAM Owner,Implemented,"Entra ID Password Protection deployed; banned password list configured; SSPR enabled with two-method verification; service principal secrets tracked in secrets register.",Password policy export / SSPR config,2026-05-01_A.5.17_EntraID_PasswordProtection_IAMOwner_v1.png,ISO 27001:2022 Annex A 5.17,2026-05-01,PR.AA-01,User Access Control,Confirm Password Protection is enforced on-premises via the Entra ID Password Protection agent on domain controllers.
A.5.23,Information security for use of cloud services,Organisational controls,Process,Cloud Security Architect,Designed,"Cloud security policy and shared responsibility matrix documented for Azure and M365; supplier risk assessments completed for all critical SaaS providers.",Policy / supplier assessment,2026-05-01_A.5.23_Process_CloudSecPolicy_CloudSec_v1.pdf,ISO 27001:2022 Annex A 5.23,2026-05-01,GV.SC-06,N/A,Annual review of Microsoft Service Trust Portal compliance documentation required; include in supplier review schedule.
A.5.24,Information security incident management planning and preparation,Organisational controls,Process,Security Operations Manager,Implemented,"Incident response plan documented and tested via tabletop exercise annually; playbooks defined for ransomware, data breach, and account compromise scenarios.",IR plan / tabletop exercise report,2026-05-01_A.5.24_Process_IRPlan_SecOps_v1.pdf,ISO 27001:2022 Annex A 5.24,2026-05-01,RS.MA-01,N/A,Confirm playbooks are accessible offline in the event of a ransomware incident that disables IT systems.
A.6.1,Screening,People controls,Process,HR Manager,Reviewed,"Pre-employment screening policy requires criminal record check and employment history verification for all staff; enhanced screening for roles with privileged access.",Screening policy / completion records,2026-05-01_A.6.1_Process_ScreeningPolicy_HRMgr_v1.pdf,ISO 27001:2022 Annex A 6.1,2026-05-01,GV.PO-02,N/A,Contractor and third-party screening requirements must be included; evidence of completion is held in HR system.
A.6.2,Terms and conditions of employment,People controls,Process,HR Manager,Reviewed,"Information security responsibilities included in employment contracts and contractor agreements; signed acknowledgement on file for all staff.",Signed contract records,2026-05-01_A.6.2_Process_EmploymentTerms_HRMgr_v1.pdf,ISO 27001:2022 Annex A 6.2,2026-05-01,GV.PO-02,N/A,Review contractor agreement templates to ensure data handling obligations align with current ISMS policy.
